Energy	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminum	Silicon	Phosphorus	Sulfur	Chlorine	Argon	Potassium
9.7	2.91E-05	3.77E-05	0.174091444	1.249370181	3.29E+00	5.888110055	0.004976508	0.008747399	0.016331182	0.011919335	16.7147236	39.96370658	78.22703067	86.86867376	81.10529627	110.8262405	0.18649038	0.112478323	77.06874936
9.8	2.91E-05	3.74E-05	0.171018964	1.217057528	3.19E+00	5.715213629	0.00482801	0.008485354	0.015842947	0.011564926	16.22144844	38.75354727	75.93742894	84.34722981	78.77077857	107.6644924	0.18101194	0.109268816	74.9196877
9.9	2.91E-05	3.72E-05	0.168074636	1.186070095	3.10E+00	5.549398521	0.004685545	0.008233867	0.015374226	0.011224566	15.74755651	37.59012029	73.73622295	81.92230269	76.52490777	104.6217254	0.175735175	0.106182023	72.85024726
10	2.91E-05	3.70E-05	0.165251902	1.156340961	3.01E+00	5.39030776	0.004548809	0.007992415	0.014924057	0.010897565	15.29210351	36.47117975	71.61916827	79.58929042	74.3634854	101.692345	0.170650759	0.103212142	70.85673753
10.1	2.90E-05	3.68E-05	0.162544599	1.127807206	2.93E+00	5.237605671	0.00441752	0.007760501	0.014491532	0.010583276	14.85419982	35.50326	69.58226324	77.34385267	72.28255029	98.87107076	0.166644234	0.100353697	68.93567239
10.2	2.90E-05	3.66E-05	0.159946932	1.100409636	2.84E+00	5.090976417	0.004291409	0.007537662	0.014075795	0.010281085	14.43300687	34.48461	67.62173294	75.18189354	70.27836302	96.15291638	0.162053835	0.097601514	67.08375704
10.3	2.90E-05	3.64E-05	0.157453452	1.07409253	2.77E+00	4.950122645	0.004170225	0.007323459	0.01367604	0.009990416	14.02773375	33.50464	65.73401429	73.09954562	68.34739156	93.53317021	0.157628013	0.094950705	65.2978758
10.4	2.90E-05	3.63E-05	0.155059028	1.048803402	2.69E+00	4.81476424	0.00405373	0.007117478	0.013291509	0.009710726	13.63763407	32.56157	63.91574234	71.09315521	66.48629792	91.00737795	0.153359625	0.092396646	63.57508082
10.5	2.90E-05	3.61E-05	0.152758829	1.024492787	2.62E+00	4.684637174	0.003941701	0.00691933	0.012921484	0.0094415	13.26200305	31.65367	62.16373746	69.1592687	64.69192585	88.57132632	0.14924189	0.089934966	61.91258163
10.6	2.90E-05	3.59E-05	0.150548301	1.00111404	2.55E+00	4.559492441	0.003833926	0.006728647	0.012565288	0.009182253	12.90017489	30.77933	60.47499359	67.29461984	62.96128931	86.22102794	0.14526836	0.087561527	60.30773541
10.7	2.90E-05	3.58E-05	0.148423153	0.97862315	2.48E+00	4.439095073	0.003730207	0.006545081	0.012222282	0.008932528	12.55152021	29.93702	58.84666725	65.49611799	61.2915619	83.95270724	0.141432909	0.08527241	58.75803788
10.8	2.90E-05	3.56E-05	0.146379334	0.956978569	2.41E+00	4.323223227	0.003630354	0.006368304	0.011891861	0.008691891	12.2154438	29.12529	57.27606733	63.76083716	59.68006693	81.7627875	0.137729713	0.083063903	57.26111492
10.9	2.90E-05	3.55E-05	0.144413022	0.936141054	2.35E+00	4.211667338	0.00353419	0.006198006	0.011573454	0.008459932	11.89138246	28.34277	55.76064569	62.08600586	58.12426822	79.64787859	0.134153229	0.080932488	55.81471471
11	2.90E-05	3.53E-05	0.142520605	0.916073517	2.29E+00	4.104229341	0.003441548	0.006033894	0.011266522	0.008236264	11.57880299	27.58818	54.29798834	60.46899765	56.62176158	77.60476578	0.130698188	0.07887483	54.41670044
11.1	2.90E-05	3.52E-05	0.140698673	0.89674089	2.23E+00	4.000721939	0.003352267	0.005875689	0.010970551	0.008020519	11.27720038	26.86027	52.88580723	58.90732235	55.17026685	75.63039915	0.127359573	0.076887763	53.06504344
11.2	2.90E-05	3.51E-05	0.138944001	0.87811	2.18E+00	3.900967927	0.003266197	0.00572313	0.010685057	0.007812349	10.98609604	26.15789	51.52193272	57.39861783	53.76762043	73.72188378	0.124132608	0.074968284	51.75781691
11.3	2.90E-05	3.50E-05	0.137253537	0.860149448	2.12E+00	3.80479957	0.003183196	0.005575967	0.010409582	0.007611424	10.70503623	25.47993	50.2043064	55.94064239	52.41176842	71.87647065	0.121012744	0.073113542	50.49318992
11.4	2.90E-05	3.48E-05	0.135624396	0.842829499	2.07E+00	3.712058014	0.003103129	0.005433964	0.01014369	0.007417433	10.43359058	24.82534	48.93097452	54.53126763	51.10076016	70.09154807	0.117995651	0.071320829	49.26942189
11.5	2.89E-05	3.47E-05	0.134053843	0.826121983	2.02E+00	3.622592749	0.003025867	0.005296897	0.009886969	0.007230078	10.17135066	24.19312	47.70008184	53.16847183	49.83274219	68.36463375	0.115077199	0.069587569	48.08485743
11.6	2.89E-05	3.46E-05	0.132539289	0.8100002	1.97E+00	3.536261098	0.00295129	0.005164554	0.009639026	0.007049077	9.917928709	23.58235	46.50986584	51.85033374	48.60595266	66.6933673	0.112253454	0.067911317	46.93792148
