Energy	Air, Dry (near sea level)	Blood, Whole (ICRU-44)	Brain, Grey/White Matter (ICRU-44)	Breast Tissue (ICRU-44)	Bone, Cortical (ICRU-44)	Cadmium Telluride	Gallium Arsenide	Glass, Borosilicate (Pyrex)	Muscle, Skeletal (ICRU-44)	Polyethylene Terephthalate, (Mylar)	Polymethyl Methacrylate, (PMMA)	Polytetrafluoroethylene, (Teflon)	Polyvinyl Chloride, (PVC) 	Tissue, Soft (ICRU-44)	Water, Liquid	Adipose Tissue (ICRU-44)	PLA, (XCOM)
55.8	2.36E-04	0.229254728	0.233209323	0.21368125	0.681101711	49.27296463	13.37484011	0.590573819	0.208534566	0.268628708	0.238468243	0.440260432	0.523636006	0.223826633	0.212094802	0.191409721	0.21743
55.9	2.36E-04	0.229091347	0.23303697	0.213552431	0.679246658	49.03649658	13.30983369	0.589406369	0.208367324	0.268487222	0.238288701	0.439811968	0.522067539	0.223652937	0.211936764	0.19131126	0.21724
56	2.36E-04	0.228929146	0.232865847	0.213424527	0.677402596	48.80157453	13.24526772	0.588247303	0.208201275	0.268346739	0.238109753	0.43936671	0.520510182	0.223480468	0.211779848	0.191213484	0.21705
56.1	2.35E-04	0.228768115	0.232695941	0.213297531	0.675569439	48.56818584	13.18113845	0.587096548	0.208036411	0.268207248	0.237931395	0.438924629	0.518963838	0.223309216	0.211624045	0.191116385	0.21686
56.2	2.35E-04	0.228608241	0.232527241	0.213171433	0.673747105	48.33631801	13.11744216	0.585954029	0.207872719	0.268068742	0.237753624	0.438485698	0.51742841	0.223139172	0.211469344	0.19101996	0.21668
56.3	2.35E-04	0.228449516	0.232359737	0.213046227	0.671935511	48.10595863	13.05417518	0.584819672	0.207710191	0.267931211	0.237576437	0.438049888	0.515903802	0.222970322	0.211315736	0.190924201	0.21649
56.4	2.35E-04	0.228291929	0.232193419	0.212921903	0.670134574	47.87709544	12.99133385	0.583693405	0.207548815	0.267794648	0.237399832	0.437617172	0.514389917	0.222802658	0.211163211	0.190829103	0.21631
56.5	2.35E-04	0.22813547	0.232028275	0.212798456	0.668344214	47.64971628	12.92891457	0.582575156	0.207388581	0.267659043	0.237223806	0.437187522	0.512886663	0.22263617	0.21101176	0.19073466	0.21612
56.6	2.35E-04	0.227980128	0.231864297	0.212675876	0.66656435	47.42380913	12.86691377	0.581464854	0.207229479	0.267524389	0.237048355	0.436760912	0.511393945	0.222470845	0.210861373	0.190640867	0.21594
56.7	2.34E-04	0.227825894	0.231701472	0.212554156	0.664794902	47.19936205	12.80532792	0.580362428	0.2070715	0.267390677	0.236873477	0.436337313	0.509911672	0.222306675	0.21071204	0.190547718	0.21576
